439 : [(7, 13), (7, 9), (2, 20), (1, 0), (5, 7), (9, 13), (3, 0), (3, 15), (15, 5), (15, 17), (19, 5), (23, 8), (13, 18), (6, 14), (20, 10), (10, 7), (10, 4), (3, 23), (19, 2), (3, 4), (22, 11), (15, 8), (22, 16), (15, 21), (20, 19), (11, 24), (22, 13), (16, 9), (23, 4), (3, 5)]
439 : [(20, 19), (19, 5), (15, 17), (23, 4), (9, 13), (3, 15), (7, 9), (15, 8), (13, 18), (10, 7), (10, 4), (7, 13), (3, 0), (6, 14), (3, 23), (23, 8), (22, 11), (3, 4), (15, 21), (3, 5), (22, 13), (20, 10), (15, 5), (2, 20), (1, 0), (5, 7), (16, 9), (22, 16), (19, 2), (11, 24)]
433 : [(15, 5), (1, 0), (9, 13), (20, 19), (3, 4), (22, 16), (10, 4), (19, 5), (22, 13), (3, 0), (16, 9), (11, 24), (5, 7), (6, 14), (3, 5), (19, 2), (15, 8), (15, 17), (13, 18), (7, 9), (15, 21), (2, 20), (7, 13), (3, 15), (10, 7), (23, 4), (20, 10), (23, 8), (22, 11), (3, 23)]
453 : [(19, 2), (3, 0), (10, 7), (22, 11), (1, 0), (22, 13), (19, 5), (3, 4), (23, 8), (13, 18), (23, 4), (9, 13), (16, 9), (15, 5), (15, 17), (20, 19), (7, 13), (15, 8), (20, 10), (3, 23), (10, 4), (5, 7), (7, 9), (15, 21), (3, 15), (2, 20), (11, 24), (6, 14), (22, 16), (3, 5)]
423 : [(16, 9), (20, 10), (3, 4), (1, 0), (15, 5), (19, 5), (9, 13), (7, 9), (15, 17), (3, 15), (20, 19), (13, 18), (6, 14), (10, 4), (11, 24), (19, 2), (23, 8), (10, 7), (3, 23), (7, 13), (22, 16), (23, 4), (5, 7), (22, 11), (15, 8), (22, 13), (2, 20), (3, 5), (15, 21), (3, 0)]
451 : [(3, 5), (9, 13), (23, 4), (22, 13), (20, 19), (15, 17), (7, 9), (15, 21), (3, 0), (3, 4), (16, 9), (1, 0), (6, 14), (13, 18), (11, 24), (10, 7), (3, 15), (22, 16), (20, 10), (15, 8), (23, 8), (3, 23), (5, 7), (22, 11), (7, 13), (19, 5), (15, 5), (10, 4), (19, 2), (2, 20)]
423 : [(10, 7), (3, 4), (15, 17), (23, 8), (3, 0), (7, 9), (3, 23), (22, 13), (19, 5), (3, 5), (20, 19), (20, 10), (22, 16), (15, 21), (3, 15), (22, 11), (7, 13), (15, 8), (13, 18), (15, 5), (16, 9), (23, 4), (2, 20), (6, 14), (11, 24), (9, 13), (1, 0), (19, 2), (5, 7), (10, 4)]
459 : [(22, 16), (10, 4), (23, 4), (2, 20), (19, 2), (3, 23), (3, 15), (15, 8), (6, 14), (19, 5), (15, 5), (3, 5), (5, 7), (11, 24), (20, 19), (3, 0), (15, 17), (7, 13), (3, 4), (9, 13), (10, 7), (22, 13), (15, 21), (16, 9), (20, 10), (7, 9), (22, 11), (1, 0), (23, 8), (13, 18)]
465 : [(3, 15), (23, 4), (23, 8), (16, 9), (15, 17), (15, 8), (15, 21), (11, 24), (1, 0), (3, 5), (5, 7), (22, 16), (15, 5), (10, 7), (3, 23), (22, 11), (22, 13), (10, 4), (6, 14), (20, 10), (3, 0), (7, 9), (9, 13), (20, 19), (2, 20), (3, 4), (7, 13), (19, 5), (19, 2), (13, 18)]
433 : [(9, 13), (5, 7), (15, 5), (20, 10), (2, 20), (10, 4), (1, 0), (22, 11), (11, 24), (3, 23), (7, 9), (15, 21), (23, 8), (13, 18), (15, 17), (10, 7), (22, 13), (16, 9), (3, 0), (6, 14), (19, 2), (19, 5), (23, 4), (15, 8), (3, 4), (22, 16), (7, 13), (3, 5), (3, 15), (20, 19)]
469 : [(23, 4), (15, 5), (6, 14), (9, 13), (3, 23), (15, 8), (3, 4), (19, 2), (20, 10), (7, 13), (13, 18), (3, 0), (22, 11), (19, 5), (1, 0), (3, 5), (11, 24), (20, 19), (16, 9), (10, 7), (5, 7), (15, 21), (10, 4), (22, 13), (15, 17), (7, 9), (3, 15), (2, 20), (22, 16), (23, 8)]
439 : [(16, 9), (15, 17), (20, 19), (7, 9), (3, 15), (15, 21), (9, 13), (10, 7), (23, 8), (3, 4), (22, 13), (22, 16), (15, 5), (11, 24), (2, 20), (5, 7), (10, 4), (3, 0), (19, 5), (22, 11), (13, 18), (23, 4), (3, 23), (3, 5), (15, 8), (6, 14), (19, 2), (1, 0), (20, 10), (7, 13)]
433 : [(20, 10), (22, 13), (23, 4), (6, 14), (1, 0), (19, 5), (22, 16), (11, 24), (20, 19), (15, 8), (23, 8), (5, 7), (7, 13), (15, 17), (15, 5), (10, 4), (19, 2), (7, 9), (3, 4), (9, 13), (10, 7), (15, 21), (3, 15), (3, 23), (22, 11), (13, 18), (3, 0), (16, 9), (3, 5), (2, 20)]
445 : [(20, 19), (2, 20), (10, 4), (5, 7), (15, 5), (3, 15), (22, 16), (13, 18), (10, 7), (7, 13), (15, 8), (11, 24), (3, 0), (1, 0), (3, 5), (15, 17), (22, 13), (16, 9), (7, 9), (22, 11), (23, 8), (9, 13), (23, 4), (19, 5), (3, 4), (3, 23), (15, 21), (6, 14), (19, 2), (20, 10)]
437 : [(23, 4), (13, 18), (3, 0), (10, 4), (5, 7), (1, 0), (19, 2), (19, 5), (15, 5), (11, 24), (15, 8), (3, 4), (23, 8), (3, 23), (20, 19), (9, 13), (15, 21), (16, 9), (7, 9), (22, 11), (10, 7), (15, 17), (22, 16), (2, 20), (3, 5), (22, 13), (3, 15), (7, 13), (6, 14), (20, 10)]
439 : [(3, 4), (23, 8), (9, 13), (10, 7), (5, 7), (15, 17), (22, 13), (3, 15), (20, 10), (7, 13), (15, 5), (19, 2), (22, 11), (15, 8), (3, 23), (3, 5), (1, 0), (11, 24), (3, 0), (15, 21), (22, 16), (16, 9), (2, 20), (23, 4), (6, 14), (10, 4), (20, 19), (13, 18), (7, 9), (19, 5)]
457 : [(15, 21), (10, 4), (1, 0), (3, 4), (15, 8), (22, 16), (15, 17), (23, 4), (2, 20), (3, 15), (9, 13), (23, 8), (20, 10), (19, 5), (13, 18), (3, 0), (16, 9), (3, 5), (7, 9), (11, 24), (15, 5), (5, 7), (3, 23), (7, 13), (19, 2), (6, 14), (22, 11), (10, 7), (20, 19), (22, 13)]
473 : [(15, 5), (22, 16), (10, 7), (22, 11), (16, 9), (22, 13), (15, 8), (6, 14), (20, 10), (19, 5), (15, 21), (3, 4), (3, 23), (15, 17), (10, 4), (13, 18), (3, 15), (7, 13), (7, 9), (11, 24), (1, 0), (23, 8), (19, 2), (20, 19), (5, 7), (23, 4), (3, 0), (2, 20), (3, 5), (9, 13)]
483 : [(22, 13), (19, 2), (3, 15), (1, 0), (10, 4), (11, 24), (3, 5), (15, 5), (15, 21), (3, 23), (20, 19), (9, 13), (15, 8), (19, 5), (23, 8), (7, 9), (3, 4), (3, 0), (6, 14), (22, 16), (10, 7), (16, 9), (15, 17), (13, 18), (2, 20), (5, 7), (7, 13), (20, 10), (23, 4), (22, 11)]
469 : [(15, 8), (22, 11), (20, 19), (3, 0), (6, 14), (7, 9), (16, 9), (3, 15), (10, 4), (15, 17), (22, 16), (22, 13), (20, 10), (3, 4), (9, 13), (15, 21), (3, 23), (2, 20), (19, 5), (10, 7), (23, 4), (7, 13), (1, 0), (3, 5), (15, 5), (13, 18), (5, 7), (11, 24), (23, 8), (19, 2)]
453 : [(22, 13), (2, 20), (16, 9), (3, 0), (7, 13), (15, 21), (10, 4), (3, 23), (3, 5), (15, 17), (20, 10), (3, 15), (23, 4), (5, 7), (19, 5), (7, 9), (13, 18), (23, 8), (11, 24), (22, 11), (15, 8), (3, 4), (22, 16), (15, 5), (6, 14), (19, 2), (20, 19), (1, 0), (9, 13), (10, 7)]
469 : [(15, 21), (7, 13), (23, 4), (3, 15), (22, 13), (3, 0), (10, 4), (13, 18), (9, 13), (19, 5), (10, 7), (7, 9), (5, 7), (16, 9), (19, 2), (3, 5), (22, 11), (15, 17), (22, 16), (11, 24), (2, 20), (3, 4), (23, 8), (20, 19), (1, 0), (15, 5), (3, 23), (6, 14), (15, 8), (20, 10)]
445 : [(10, 7), (20, 10), (22, 13), (15, 8), (3, 23), (13, 18), (15, 5), (3, 0), (19, 5), (22, 11), (19, 2), (22, 16), (15, 17), (6, 14), (1, 0), (10, 4), (3, 15), (20, 19), (9, 13), (7, 13), (3, 5), (5, 7), (23, 8), (16, 9), (11, 24), (23, 4), (3, 4), (2, 20), (7, 9), (15, 21)]
455 : [(19, 5), (10, 7), (3, 5), (3, 15), (23, 4), (20, 10), (3, 23), (15, 17), (1, 0), (13, 18), (3, 0), (22, 11), (22, 13), (22, 16), (9, 13), (10, 4), (19, 2), (5, 7), (15, 21), (23, 8), (15, 8), (7, 13), (15, 5), (3, 4), (6, 14), (20, 19), (2, 20), (11, 24), (7, 9), (16, 9)]
455 : [(19, 2), (15, 17), (15, 5), (13, 18), (3, 5), (5, 7), (22, 11), (7, 9), (22, 16), (2, 20), (22, 13), (23, 8), (10, 7), (7, 13), (20, 19), (1, 0), (3, 15), (6, 14), (19, 5), (15, 21), (3, 23), (15, 8), (10, 4), (20, 10), (23, 4), (3, 4), (16, 9), (11, 24), (3, 0), (9, 13)]
461 : [(10, 7), (19, 2), (3, 0), (16, 9), (22, 16), (10, 4), (15, 5), (7, 13), (15, 8), (13, 18), (9, 13), (2, 20), (19, 5), (7, 9), (23, 8), (11, 24), (22, 13), (3, 5), (22, 11), (3, 23), (1, 0), (15, 17), (3, 15), (3, 4), (6, 14), (15, 21), (5, 7), (20, 19), (23, 4), (20, 10)]
489 : [(19, 2), (15, 8), (15, 17), (1, 0), (5, 7), (22, 13), (3, 5), (15, 21), (3, 23), (22, 11), (16, 9), (9, 13), (3, 0), (2, 20), (15, 5), (10, 7), (7, 9), (20, 19), (23, 8), (3, 4), (3, 15), (13, 18), (11, 24), (6, 14), (19, 5), (22, 16), (23, 4), (10, 4), (7, 13), (20, 10)]
455 : [(7, 9), (2, 20), (7, 13), (13, 18), (19, 5), (15, 21), (15, 8), (22, 16), (6, 14), (11, 24), (10, 4), (3, 15), (19, 2), (1, 0), (3, 4), (15, 17), (22, 13), (15, 5), (3, 5), (10, 7), (16, 9), (5, 7), (20, 10), (3, 23), (9, 13), (20, 19), (23, 8), (3, 0), (23, 4), (22, 11)]
455 : [(23, 8), (1, 0), (3, 15), (5, 7), (20, 19), (13, 18), (11, 24), (7, 9), (10, 4), (10, 7), (20, 10), (16, 9), (6, 14), (2, 20), (15, 17), (15, 8), (7, 13), (3, 0), (15, 5), (22, 16), (22, 13), (3, 4), (3, 5), (19, 5), (3, 23), (15, 21), (9, 13), (22, 11), (23, 4), (19, 2)]
487 : [(15, 8), (23, 4), (11, 24), (6, 14), (10, 4), (10, 7), (20, 19), (19, 2), (3, 23), (15, 5), (3, 5), (19, 5), (22, 11), (20, 10), (3, 15), (15, 21), (22, 16), (23, 8), (9, 13), (1, 0), (3, 4), (3, 0), (5, 7), (7, 13), (13, 18), (15, 17), (22, 13), (16, 9), (7, 9), (2, 20)]
469 : [(5, 7), (9, 13), (15, 8), (3, 15), (3, 0), (15, 5), (22, 13), (10, 4), (16, 9), (22, 11), (3, 4), (19, 5), (1, 0), (6, 14), (20, 10), (23, 8), (20, 19), (22, 16), (7, 9), (13, 18), (19, 2), (15, 17), (11, 24), (15, 21), (23, 4), (7, 13), (3, 5), (3, 23), (2, 20), (10, 7)]
475 : [(22, 16), (23, 4), (9, 13), (23, 8), (6, 14), (13, 18), (22, 13), (5, 7), (7, 13), (15, 21), (10, 7), (3, 4), (22, 11), (7, 9), (3, 15), (19, 5), (3, 0), (19, 2), (3, 23), (11, 24), (16, 9), (15, 8), (20, 10), (3, 5), (10, 4), (15, 5), (2, 20), (1, 0), (15, 17), (20, 19)]
435 : [(22, 16), (2, 20), (20, 19), (3, 0), (15, 8), (7, 13), (11, 24), (10, 4), (9, 13), (15, 5), (5, 7), (23, 8), (3, 15), (15, 21), (1, 0), (7, 9), (3, 4), (20, 10), (3, 5), (19, 2), (19, 5), (16, 9), (13, 18), (3, 23), (6, 14), (15, 17), (23, 4), (22, 13), (22, 11), (10, 7)]
463 : [(23, 4), (9, 13), (10, 4), (3, 4), (15, 21), (15, 8), (11, 24), (6, 14), (19, 5), (7, 13), (20, 19), (2, 20), (22, 11), (22, 16), (15, 17), (3, 15), (23, 8), (3, 0), (1, 0), (7, 9), (3, 5), (10, 7), (13, 18), (3, 23), (20, 10), (16, 9), (5, 7), (22, 13), (19, 2), (15, 5)]
483 : [(3, 15), (10, 4), (15, 5), (11, 24), (15, 8), (23, 8), (13, 18), (15, 17), (19, 2), (20, 10), (10, 7), (6, 14), (7, 13), (19, 5), (20, 19), (3, 23), (15, 21), (3, 4), (3, 0), (22, 13), (16, 9), (7, 9), (5, 7), (2, 20), (22, 11), (22, 16), (9, 13), (3, 5), (23, 4), (1, 0)]
479 : [(1, 0), (23, 4), (6, 14), (11, 24), (15, 17), (15, 21), (19, 5), (15, 8), (7, 13), (23, 8), (22, 16), (5, 7), (13, 18), (2, 20), (3, 4), (20, 10), (22, 11), (7, 9), (9, 13), (19, 2), (20, 19), (22, 13), (15, 5), (3, 5), (10, 7), (16, 9), (3, 0), (3, 23), (10, 4), (3, 15)]
477 : [(22, 13), (19, 5), (3, 23), (15, 17), (7, 13), (20, 19), (3, 0), (5, 7), (15, 8), (22, 11), (10, 7), (11, 24), (7, 9), (10, 4), (22, 16), (20, 10), (15, 21), (9, 13), (1, 0), (13, 18), (19, 2), (16, 9), (23, 4), (3, 15), (2, 20), (3, 4), (6, 14), (3, 5), (23, 8), (15, 5)]
463 : [(7, 13), (16, 9), (19, 2), (3, 15), (22, 13), (13, 18), (22, 16), (15, 8), (15, 17), (10, 7), (19, 5), (11, 24), (3, 0), (22, 11), (6, 14), (20, 19), (15, 21), (15, 5), (9, 13), (10, 4), (2, 20), (3, 5), (20, 10), (23, 8), (7, 9), (23, 4), (5, 7), (3, 23), (1, 0), (3, 4)]
451 : [(22, 16), (3, 0), (3, 23), (15, 5), (22, 11), (3, 4), (2, 20), (13, 18), (16, 9), (6, 14), (19, 5), (20, 19), (1, 0), (23, 4), (23, 8), (7, 13), (19, 2), (15, 8), (7, 9), (9, 13), (3, 15), (3, 5), (5, 7), (22, 13), (10, 7), (10, 4), (15, 21), (11, 24), (15, 17), (20, 10)]
479 : [(7, 9), (6, 14), (20, 19), (10, 4), (9, 13), (2, 20), (19, 2), (23, 8), (15, 5), (13, 18), (5, 7), (11, 24), (3, 5), (3, 4), (22, 11), (15, 21), (16, 9), (3, 23), (1, 0), (15, 17), (22, 13), (10, 7), (15, 8), (3, 0), (22, 16), (3, 15), (23, 4), (20, 10), (7, 13), (19, 5)]
455 : [(3, 0), (2, 20), (1, 0), (3, 4), (19, 5), (7, 13), (19, 2), (15, 21), (15, 8), (10, 7), (22, 16), (22, 13), (13, 18), (20, 10), (3, 23), (10, 4), (23, 8), (9, 13), (3, 5), (15, 17), (6, 14), (23, 4), (15, 5), (16, 9), (11, 24), (5, 7), (7, 9), (3, 15), (22, 11), (20, 19)]
467 : [(20, 10), (5, 7), (22, 16), (23, 4), (13, 18), (3, 5), (7, 13), (9, 13), (19, 2), (22, 13), (3, 15), (19, 5), (15, 17), (16, 9), (15, 21), (10, 7), (3, 0), (15, 5), (6, 14), (3, 4), (22, 11), (3, 23), (1, 0), (20, 19), (2, 20), (10, 4), (7, 9), (11, 24), (23, 8), (15, 8)]
467 : [(5, 7), (13, 18), (23, 8), (15, 17), (10, 4), (11, 24), (15, 21), (6, 14), (19, 2), (7, 9), (20, 19), (1, 0), (9, 13), (3, 4), (16, 9), (15, 5), (3, 0), (22, 11), (22, 16), (10, 7), (15, 8), (23, 4), (3, 15), (7, 13), (20, 10), (22, 13), (3, 23), (19, 5), (3, 5), (2, 20)]
497 : [(23, 4), (7, 9), (15, 5), (7, 13), (19, 5), (10, 4), (9, 13), (3, 4), (22, 16), (15, 21), (2, 20), (16, 9), (3, 23), (13, 18), (5, 7), (15, 17), (11, 24), (15, 8), (6, 14), (22, 11), (1, 0), (3, 15), (19, 2), (20, 10), (20, 19), (3, 0), (23, 8), (10, 7), (3, 5), (22, 13)]
461 : [(3, 5), (23, 8), (11, 24), (19, 5), (5, 7), (7, 9), (6, 14), (15, 8), (19, 2), (15, 21), (3, 15), (16, 9), (22, 11), (20, 10), (15, 17), (22, 16), (7, 13), (2, 20), (3, 4), (20, 19), (1, 0), (9, 13), (10, 7), (13, 18), (3, 0), (15, 5), (22, 13), (10, 4), (23, 4), (3, 23)]
455 : [(15, 8), (22, 16), (1, 0), (3, 15), (3, 0), (9, 13), (20, 19), (7, 13), (15, 17), (7, 9), (10, 4), (15, 5), (15, 21), (22, 13), (23, 8), (13, 18), (23, 4), (19, 2), (3, 23), (16, 9), (6, 14), (11, 24), (2, 20), (22, 11), (20, 10), (5, 7), (19, 5), (3, 4), (10, 7), (3, 5)]
483 : [(6, 14), (13, 18), (23, 8), (3, 5), (7, 13), (9, 13), (5, 7), (16, 9), (3, 15), (22, 16), (10, 4), (23, 4), (3, 4), (7, 9), (1, 0), (15, 8), (11, 24), (19, 5), (15, 5), (22, 11), (20, 10), (20, 19), (2, 20), (15, 17), (3, 23), (3, 0), (10, 7), (15, 21), (19, 2), (22, 13)]
463 : [(19, 5), (22, 16), (3, 4), (5, 7), (20, 10), (19, 2), (3, 23), (3, 5), (16, 9), (6, 14), (13, 18), (15, 5), (15, 17), (3, 15), (11, 24), (23, 8), (10, 4), (7, 9), (15, 21), (1, 0), (22, 11), (9, 13), (3, 0), (15, 8), (20, 19), (23, 4), (10, 7), (2, 20), (7, 13), (22, 13)]
